symbol,asset_id,fiscal_year,metric,aggregation_method,quarterly_value,annual_value,unit,absolute_difference,relative_difference_pct,status,annual_publication_date,annual_source_url,reviewed_at,notes
180401,dongbu_power_phase1,2025,electricity_revenue,sum,1352918779.91,1352933480.27,RMB,14700.36,0.001086554529,annual_true_up,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,季度末电费含暂估；年报较季度合计增加14700.36元且无法可靠分配到单季
180401,dongbu_power_phase1,2025,fuel_consumption,sum,437000,437070.35,tonnes,70.35,0.016095807,within_rounding,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,季度按0.01万吨约数披露；年报披露437070.35吨
180401,dongbu_power_phase1,2025,fuel_unit_cost,fuel_consumption_weighted_average,2108.102014,2108.1,RMB_per_tonne,0.002013729977,9.552345605e-05,within_rounding,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,加权结果与年报相差约0.002元每吨
180401,dongbu_power_phase1,2025,power_generation,sum,320256.08,320256.07,10k_kWh,0.01000000001,3.122501319e-06,within_rounding,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,季度合计与年报相差0.01万千瓦时
180401,dongbu_power_phase1,2025,settled_electricity,sum,315108.75,315108.75,10k_kWh,0,0,exact,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,季度合计与年报一致
180401,dongbu_power_phase1,2025,settlement_tariff,settled_electricity_weighted_average,0.4851829606,0.4852,RMB_per_kWh,1.703940306e-05,0.003511830804,within_rounding,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,加权结果与年报差异小于0.0001元每千瓦时
180401,dongbu_power_phase1,2025,utilization_hours,sum,2737,2737,hours,0,0,exact,2026-03-30,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/4de4f136-5cde-4042-aebf-c8e001fde756.PDF,2026-08-29,季度整数利用小时合计与年报一致
508096,hubei_jingtai_pv,2025,power_generation,sum,10400,10300,10k_kWh,100,0.9708737864,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度按0.01亿千瓦时披露
508096,hubei_jingtai_pv,2025,settled_electricity,sum,10200,10200,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度合计与年报一致
508096,hubei_jingtai_pv,2025,settlement_revenue,sum,84000000,85000000,RMB,1000000,1.176470588,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度结算电费按0.01亿元披露
508096,hubei_jingtai_pv,2025,settlement_tariff,settled_electricity_weighted_average,0.8305578431,0.8317,RMB_per_kWh,0.001142156863,0.1373279864,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度电量和电费均为低精度披露
