symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508028,binhai_h1_h2,2026-06-30,power_generation,25758.24,10k_kWh,25758.24,万千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第8页；报告期单季值
508028,binhai_h1_h2,2026-06-30,grid_connected_electricity,25064.76,10k_kWh,25064.76,万千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第9页；报告期单季值
508028,binhai_h1_h2,2026-06-30,settled_electricity,24847.85,10k_kWh,24847.85,万千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第9页；依据交易结算单及国网电费账单测算
508028,binhai_h1_h2,2026-06-30,utilization_hours,515.16,hours,515.16,小时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第6页；等效利用小时数发电量口径
508028,binhai_h1_h2,2026-06-30,settlement_tariff,0.8425,RMB_per_kWh,0.8425,元/千瓦时（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第9页；含国补且不含两个细则及深度机组补偿分摊
508028,binhai_h1_h2,2026-06-30,availability_rate,99.59,percent,99.59,%,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第9至10页；全场风电机组可利用率
508028,binhai_h1_h2,2026-06-30,average_wind_speed,5.55,metres_per_second,5.55,米/秒,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第6页；项目报告期平均风速
508028,binhai_h1_h2,2026-06-30,settlement_revenue,209353800,RMB,20935.38,万元（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,第6页；考虑国补后的含税结算电费
508096,hubei_jingtai_pv,2026-06-30,availability_rate,99.99,percent,99.99,%,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,第11页；设备利用率剔除计划和非计划检修影响
508096,hubei_jingtai_pv,2026-06-30,power_generation,2200,10k_kWh,0.22,亿千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,第11页；报告值仅披露两位小数
